record_ID,source_1,source_2,link,basis_of_record,scientific_name,original_name,infraspecific_info,authority,revised_name,revised_infraspecific_info,revised_authority,synonym_resolved,latitude_WGS84,longitude_WGS84,day,month,year,TDWG3_region,TDWG1_name,institution_code,collection_code,gbif_occurrence_id,main_collector,other_collectors,collector_code,curation_change,contributor,incidences
1,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abitibiana Lepage,Carex abitibiana,,Lepage,Carex abitibiana,,Lepage,FALSE,50.883333,-78.116667,,,1957,QUE,NORTHERN AMERICA,QFA,649134,NA,,,NA,added,"Zhang, Li",
2,online_database,GBIF,,PRESERVED_SPECIMEN,Carex aboriginum M.E.Jones,Carex aboriginum,,M.E.Jones,Carex aboriginum,,M.E.Jones,FALSE,41.708118,-111.977725,,,1951,UTA,NORTHERN AMERICA,F,V0343571F,1228165250,,,NA,NA,,
3,online_database,TROPICOS,,PRESERVED_SPECIMEN,Carex aboriginum M.E.Jones,Carex aboriginum,,M.E.Jones,Carex aboriginum,,M.E.Jones,FALSE,45.27777778,-116.7277778,22,5,2001,ORE,NORTHERN AMERICA,MO,,NA,,,NA,NA,,
4,online_database,GBIF,,PRESERVED_SPECIMEN,Carex aboriginum M.E.Jones,Carex aboriginum,,M.E.Jones,Carex aboriginum,,M.E.Jones,FALSE,44.349417,-116.33975,,,2019,IDA,NORTHERN AMERICA,US,US 3739012,2565396323,,,NA,added,Gebauer,curated by Gebauer for publication
5,online_database,GBIF,,PRESERVED_SPECIMEN,Carex aboriginum M.E.Jones,Carex aboriginum,,M.E.Jones,Carex aboriginum,,M.E.Jones,FALSE,44.716222,-116.438511,,,2000,IDA,NORTHERN AMERICA,MICH,1359665,1988816600,,,NA,added,Gebauer,curated by Gebauer for publication
6,online_database,GBIF,,PRESERVED_SPECIMEN,Carex aboriginum M.E.Jones,Carex aboriginum,,M.E.Jones,Carex aboriginum,,M.E.Jones,FALSE,44.570206,-116.445439,,,1899,IDA,NORTHERN AMERICA,MICH,1109067,1989493849,,,NA,added,Gebauer,curated by Gebauer for publication
7,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,44.50472,-114.23083,,,1965,IDA,NORTHERN AMERICA,UWBM,51161,441710214,,,NA,NA,,
8,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,33.76944,-116.65833,,,1961,CAL,NORTHERN AMERICA,UCR,,2422323693,,,NA,NA,,
9,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,43.0028,-116.6992,,,1981,IDA,NORTHERN AMERICA,NY,2233992,1928248612,,,NA,NA,,
10,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.12464,-116.76031,,,2009,CAL,NORTHERN AMERICA,RSA,,2430466937,,,NA,NA,,
11,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.12002,-116.78105,,,2008,CAL,NORTHERN AMERICA,RSA,,2430095105,,,NA,NA,,
12,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.12833,-116.85444,,,1994,CAL,NORTHERN AMERICA,UCR,,2422376256,,,NA,NA,,
13,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.166667,-116.866667,,,1993,CAL,NORTHERN AMERICA,MICH,1359671,1989476345,,,NA,NA,,
14,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.22565,-116.93898,,,1976,CAL,NORTHERN AMERICA,RSA,,2430232285,,,NA,NA,,
15,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.20402,-116.95546,,,2009,CAL,NORTHERN AMERICA,RSA,,2430204280,,,NA,NA,,
16,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.22108,-116.96097,,,2008,CAL,NORTHERN AMERICA,UCR,,2422450631,,,NA,NA,,
17,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,34.29679,-116.9929,,,2009,CAL,NORTHERN AMERICA,RSA,,2430269835,,,NA,NA,,
18,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,36.22297373,-117.1017472,,,2001,CAL,NORTHERN AMERICA,CAS,240306,1426335928,,,NA,NA,,
19,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,45.1542,-117.2544,,,1970,ORE,NORTHERN AMERICA,OSC,ORE4085,51780604,,,NA,NA,,
20,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,45.2311,-117.2786,,,1974,ORE,NORTHERN AMERICA,OSC,ORE29979,51780460,,,NA,NA,,
21,online_database,GBIF,,PRESERVED_SPECIMEN,Carex abrupta Mack.,Carex abrupta,,Mack.,Carex abrupta,,Mack.,FALSE,45.1876,-117.2991,,,1956,ORE,NORTHERN AMERICA,OSC,OSC98162,51781044,,,NA,NA,,
